Experiment;me;Year;Crop;Yield;Height;Heading;Maturity
EX1;Branisovice;2006;WW;6.51;92.19;160;
EX2;Branisovice;2006;WW;7.27;92.02;161;
EX3;Branisovice;2007;WW;7.22;83.32;141;
EX4;Branisovice;2007;WW;7.44;83.03;141;
EX5;Branisovice;2008;WW;11.14;103.22;147;
EX6;Branisovice;2008;WW;10.16;101.29;147;
EX7;Branisovice;2009;WW;9.82;94.16;142;
EX8;Branisovice;2009;WW;9.47;97.89;142;
EX9;Branisovice;2010;WW;8.89;88.03;150;
EX10;Branisovice;2010;WW;7.2;90.36;150;
EX11;Branisovice;2010;WW;9.09;88.32;158;
EX12;Branisovice;2010;WW;7.32;93.61;157;
EX13;Branisovice;2011;WW;10.76;;147;205
EX14;Branisovice;2011;WW;10.59;86.71;147;
EX15;Branisovice;2013;WW;7.94;93.07;155;
EX16;Branisovice;2013;WW;7.15;92.66;153;
EX17;Branisovice;2014;WW;6.11;71.42;139;
EX18;Branisovice;2014;WW;6.02;;139;
EX19;Branisovice;2015;WW;11.14;88;147;
EX20;Branisovice;2015;WW;12.6;;149;
EX21;Branisovice;2015;WW;10.58;92;148;
EX22;Branisovice;2015;WW;11.23;;147;
EX23;Branisovice;2015;WW;9.94;90;147;
EX24;Branisovice;2015;WW;10.99;;147;
EX25;Branisovice;2015;WW;10.9;100;144;
EX26;Branisovice;2015;WW;10.54;;145;
EX27;Branisovice;2015;WW;10.72;108;147;
EX28;Branisovice;2015;WW;11.04;;147;
EX29;Branisovice;2015;WW;10.86;105;146;
EX30;Branisovice;2015;WW;11.93;;146;
EX31;Branisovice;2015;WW;10.46;95;149;
EX32;Branisovice;2015;WW;10.81;;150;
EX33;Branisovice;2015;WW;10.31;102;148;
EX34;Branisovice;2015;WW;11.65;;148;
EX35;Branisovice;2015;WW;10.72;93;146;
EX36;Branisovice;2015;WW;10.91;;146;
EX37;Branisovice;2015;WW;10.61;98;148;
EX38;Branisovice;2015;WW;11.45;;146;
EX39;Branisovice;2015;WW;9.24;98.62;145;
EX40;Branisovice;2015;WW;10.84;;145;
EX41;Branisovice;2015;WW;9.77;92;150;
EX42;Branisovice;2015;WW;10.53;;148;
EX43;Branisovice;2015;WW;10.65;92;144;
EX44;Branisovice;2015;WW;12.12;;144;
EX45;Branisovice;2015;WW;10.59;115;149;
EX46;Branisovice;2015;WW;10.34;;149;
EX47;Branisovice;2015;WW;10.46;93;151;
EX48;Branisovice;2015;WW;11.93;;151;
EX49;Branisovice;2015;WW;6.15;82;146;
EX50;Branisovice;2015;WW;9.8;;146;
EX51;Branisovice;2015;WW;8.6;95;150;
EX52;Branisovice;2015;WW;11.86;;149;
EX53;Branisovice;2015;WW;10.7;102;145;
EX54;Branisovice;2015;WW;11.44;;147;
EX55;Branisovice;2015;WW;10.27;107;149;
EX56;Branisovice;2015;WW;10.33;;149;
EX57;Branisovice;2015;WW;10.57;92;150;
EX58;Branisovice;2015;WW;12.64;;148;
EX59;Branisovice;2015;WW;10.66;93;147;
EX60;Branisovice;2015;WW;9.65;;147;
EX61;Branisovice;2015;WW;11.74;92;147;
EX62;Branisovice;2015;WW;11.98;;147;
EX63;Branisovice;2015;WW;10.01;90;146;
EX64;Branisovice;2015;WW;11.34;;147;
EX65;Branisovice;2015;WW;12.04;88;149;
EX66;Branisovice;2015;WW;11.99;;148;
EX67;Branisovice;2015;WW;10.75;83;148;
EX68;Branisovice;2015;WW;12.86;;146;
EX69;Branisovice;2015;WW;9.08;97;145;
EX70;Branisovice;2015;WW;10.24;;145;
EX71;Branisovice;2016;WW;13.16;91.77;154;
EX72;Branisovice;2016;WW;12.91;91.47;155;
EX73;Branisovice;2016;WW;10.61;92.27;151;
EX74;Branisovice;2016;WW;10.76;93.29;151;
EX75;Branisovice;2017;WW;;72.82;147;
EX76;Branisovice;2017;WW;;74.95;147;
EX77;Branisovice;2018;WW;;63.59;136;
EX78;Branisovice;2018;WW;;58.6;137;
EX79;Branisovice;2018;WW;4.01;61.53;134;
EX80;Branisovice;2018;WW;3.88;60.26;134;
EX81;Branisovice;2019;WW;;92.25;145;
EX82;Branisovice;2019;WW;;88.44;146;
EX83;Branisovice;2019;WW;;89.58;140;
EX84;Branisovice;2019;WW;;89.06;140;
EX85;Branisovice;2020;WW;11.25;84.63;145;
EX86;Branisovice;2020;WW;10.96;83.75;143;
EX87;Branisovice;2020;WW;11.07;83.88;145;
EX88;Branisovice;2021;WW;13.66;91.3;154;
EX89;Branisovice;2021;WW;13.26;90.92;;
EX90;Branisovice;2022;WW;8.36;69.34;141;
EX91;Branisovice;2022;WW;7.45;64.77;141;
EX92;Branisovice;2022;WW;8.35;74.74;144;
EX93;Branisovice;2022;WW;7.94;70.1;144;
EX94;Branisovice;2023;WW;12.53;100.7;145;
EX95;Branisovice;2023;WW;;104.81;150;
EX96;Branisovice;2023;WW;12.54;98.81;150;
EX97;Branisovice;2023;WW;;96.88;150;
EX98;Branisovice;2024;WW;8.88;91.89;140;
EX99;Caslav;2006;WW;9.01;92.87;152;202
EX100;Caslav;2006;WW;10.29;87.25;154;205
EX101;Caslav;2006;WW;10.13;81.83;147;203
EX102;Caslav;2007;WW;10.18;102.22;134;193
EX103;Caslav;2007;WW;11.47;;135;194
EX104;Caslav;2007;WW;10.02;102.23;140;195
EX105;Caslav;2007;WW;11.91;98.2;140;195
EX106;Caslav;2007;WW;10.02;105.15;140;196
EX107;Caslav;2007;WW;11.94;98.98;141;197
EX108;Caslav;2008;WW;11.32;103.68;150;204
EX109;Caslav;2008;WW;10.78;94.8;147;204
EX110;Caslav;2008;WW;9.4;107.19;149;201
EX111;Caslav;2008;WW;8.98;96.81;146;201
EX112;Caslav;2009;WW;9.07;97.71;143;209
EX113;Caslav;2009;WW;8.85;97.9;142;209
EX114;Caslav;2009;WW;7.89;91.63;140;201
EX115;Caslav;2009;WW;9.47;88.57;140;206
EX116;Caslav;2009;WW;7.3;103.87;141;205
EX117;Caslav;2009;WW;;97.52;136;201
EX118;Caslav;2009;WW;7.5;98.97;142;203
EX119;Caslav;2009;WW;;92.07;137;205
EX120;Caslav;2009;WW;10.12;83.6;146;213
EX121;Caslav;2010;WW;8.58;96.46;150;202
EX122;Caslav;2010;WW;11.25;92.67;146;202
EX123;Caslav;2010;WW;10.67;96.05;153;203
EX124;Caslav;2010;WW;7.99;98.75;153;206
EX125;Caslav;2010;WW;10.14;96.21;155;210
EX126;Caslav;2010;WW;10.04;98.32;155;209
EX127;Caslav;2010;WW;9.54;93.24;151;205
EX128;Caslav;2010;WW;10.76;93.1;155;208
EX129;Caslav;2010;WW;11.22;94.28;146;207
EX130;Caslav;2010;WW;10.03;71.25;159;210
EX131;Caslav;2011;WW;10.97;92.78;144;197
EX132;Caslav;2011;WW;11.9;;145;199
EX133;Caslav;2011;WW;11.76;96.36;141;200
EX134;Caslav;2011;WW;11.6;82;142;205
EX135;Caslav;2011;WW;11.59;95;146;202
EX136;Caslav;2011;WW;13.37;;142;202
EX137;Caslav;2011;WW;13.5;;142;204
EX138;Caslav;2011;WW;11.98;96.79;146;206
EX139;Caslav;2011;WW;12.84;;147;206
EX140;Caslav;2011;WW;12.56;;147;209
EX141;Caslav;2012;WW;8.91;85.86;145;196
EX142;Caslav;2012;WW;9.56;;145;198
EX143;Caslav;2012;WW;10.61;90.58;147;
EX144;Caslav;2012;WW;12.33;;148;
EX145;Caslav;2012;WW;12.07;;139;200
EX146;Caslav;2012;WW;9.95;87.99;149;207
EX147;Caslav;2012;WW;11.25;;149;209
EX148;Caslav;2012;WW;11.22;86.14;138;197
EX149;Caslav;2013;WW;11.56;;145;207
EX150;Caslav;2013;WW;8.78;101.07;144;204
EX151;Caslav;2013;WW;9.1;99.56;154;211
EX152;Caslav;2013;WW;9.77;100.56;154;209
EX153;Caslav;2013;WW;11.45;;156;213
EX154;Caslav;2013;WW;11.47;;155;214
EX155;Caslav;2013;WW;11.68;;155;213
EX156;Caslav;2013;WW;9.73;100.68;154;210
EX157;Caslav;2013;WW;8.87;101.64;152;206
EX158;Caslav;2013;WW;11.07;;154;210
EX159;Caslav;2014;WW;11.17;105.44;142;198
EX160;Caslav;2014;WW;12.81;;140;200
EX161;Caslav;2014;WW;10.93;110.4;144;203
EX162;Caslav;2014;WW;12.85;;144;206
EX163;Caslav;2014;WW;13.18;;144;207
EX164;Caslav;2014;WW;9.58;123.08;139;199
EX165;Caslav;2014;WW;12.84;;140;202
EX166;Caslav;2014;WW;11.11;110.9;144;203
EX167;Caslav;2015;WW;9.99;98.42;142;197
EX168;Caslav;2015;WW;11.64;;142;198
EX169;Caslav;2015;WW;7.69;112.14;139;199
EX170;Caslav;2015;WW;11.36;;139;200
EX171;Caslav;2015;WW;10.37;103.58;145;201
EX172;Caslav;2015;WW;14.36;;145;204
EX173;Caslav;2016;WW;9.65;94.03;147;198
EX174;Caslav;2016;WW;11.14;88.45;148;200
EX175;Caslav;2016;WW;10.66;107.46;152;204
EX176;Caslav;2016;WW;11.22;105;158;209
EX177;Caslav;2016;WW;11.41;102.1;158;209
EX178;Caslav;2016;WW;12.77;104.57;144;203
EX179;Caslav;2016;WW;9;114.29;144;201
EX180;Caslav;2016;WW;9.54;108.93;143;199
EX181;Caslav;2016;WW;12.67;108.57;144;203
EX182;Caslav;2016;WW;10.85;106.38;148;204
EX183;Caslav;2016;WW;13.64;100.41;148;208
EX184;Caslav;2016;WW;9.77;102.25;149;205
EX185;Caslav;2016;WW;13.07;101.19;149;209
EX186;Caslav;2016;WW;13.04;102.96;149;209
EX187;Caslav;2017;WW;11.7;93;149;206
EX188;Caslav;2017;WW;10.65;94.73;147;197
EX189;Caslav;2017;WW;13.31;96.8;148;205
EX190;Caslav;2017;WW;12.82;92.64;148;199
EX191;Caslav;2017;WW;10.29;100.53;147;201
EX192;Caslav;2017;WW;12.19;94.55;150;204
EX193;Caslav;2017;WW;11.71;95.56;150;204
EX194;Caslav;2017;WW;13.19;91.17;151;209
EX195;Caslav;2017;WW;13.95;93.14;151;207
EX196;Caslav;2018;WW;10.54;104.14;131;184
EX197;Caslav;2018;WW;11.68;93.86;131;185
EX198;Caslav;2018;WW;10.94;98.62;136;187
EX199;Caslav;2018;WW;12.88;94.5;136;188
EX200;Caslav;2018;WW;9.96;103.56;132;181
EX201;Caslav;2018;WW;10.96;96.56;132;181
EX202;Caslav;2018;WW;10.63;93.6;136;188
EX203;Caslav;2018;WW;12.2;90.08;137;190
EX204;Caslav;2019;WW;9.97;109.45;140;191
EX205;Caslav;2019;WW;11.42;105.88;142;198
EX206;Caslav;2019;WW;11.24;104.49;148;204
EX207;Caslav;2019;WW;10.83;108.07;147;201
EX208;Caslav;2019;WW;12.15;101.32;148;203
EX209;Caslav;2019;WW;11.19;106.03;147;201
EX210;Caslav;2020;WW;;109.97;147;210
EX211;Caslav;2020;WW;;104.34;147;211
EX212;Caslav;2020;WW;;109.36;141;205
EX213;Caslav;2020;WW;;101.52;142;206
EX214;Caslav;2020;WW;10.84;103.21;148;210
EX215;Caslav;2020;WW;10.15;109.25;148;208
EX216;Caslav;2021;WW;12.75;97.5;153;206
EX217;Caslav;2021;WW;12.81;97.44;159;211
EX218;Caslav;2021;WW;12.8;94.87;159;211
EX219;Caslav;2022;WW;11.89;96.32;139;197
EX220;Caslav;2022;WW;13.06;90.02;140;197
EX221;Caslav;2022;WW;11.55;96.1;143;201
EX222;Caslav;2022;WW;12.94;92.1;144;201
EX223;Caslav;2022;WW;12.13;92.44;143;199
EX224;Caslav;2022;WW;13.55;89.1;144;200
EX225;Caslav;2023;WW;12.73;103.85;140;196
EX226;Caslav;2023;WW;13.61;104.16;146;198
EX227;Caslav;2023;WW;14.17;101.77;144;198
EX228;Caslav;2023;WW;13.42;104.88;147;198
EX229;Caslav;2023;WW;15.36;103.71;148;199
EX230;Caslav;2024;WW;9.73;92.3;130;192
EX231;Caslav;2024;WW;9.48;104.42;137;194
EX232;Caslav;2024;WW;11.51;90.39;130;193
EX233;Caslav;2024;WW;12.47;100.62;136;194
EX234;Caslav;2024;WW;10.54;101.6;136;193
EX235;Chrastava;2006;WW;7.85;86.6;162;209
EX236;Chrastava;2006;WW;8.18;79.11;161;209
EX237;Chrastava;2006;WW;7.12;88.49;164;208
EX238;Chrastava;2006;WW;7.6;75.56;165;209
EX239;Chrastava;2006;WW;7.82;81.99;165;207
EX240;Chrastava;2007;WW;9.08;;138;197
EX241;Chrastava;2007;WW;9.53;85.04;140;197
EX242;Chrastava;2007;WW;9.11;96.6;143;196
EX243;Chrastava;2007;WW;9.66;88.17;144;197
EX244;Chrastava;2007;WW;7.93;95.85;144;198
EX245;Chrastava;2007;WW;9.25;83.31;145;199
EX246;Chrastava;2008;WW;9.98;85.78;154;205
EX247;Chrastava;2008;WW;8.73;92;153;206
EX248;Chrastava;2008;WW;10.68;90.07;154;206
EX249;Chrastava;2008;WW;8.71;93.2;153;203
EX250;Chrastava;2008;WW;8.37;92.52;150;200
EX251;Chrastava;2008;WW;9.71;91.3;152;202
EX252;Chrastava;2009;WW;5.9;82.78;144;211
EX253;Chrastava;2009;WW;7.68;71.09;146;213
EX254;Chrastava;2009;WW;5.44;85.49;146;211
EX255;Chrastava;2009;WW;7;69.53;148;211
EX256;Chrastava;2010;WW;9.01;94.95;159;215
EX257;Chrastava;2010;WW;8.5;88.54;160;216
EX258;Chrastava;2010;WW;8.29;94.13;158;215
EX259;Chrastava;2010;WW;8.87;86.41;159;216
EX260;Chrastava;2011;WW;7.82;86.94;151;215
EX261;Chrastava;2011;WW;8.8;;152;215
EX262;Chrastava;2011;WW;7.04;86.05;152;215
EX263;Chrastava;2011;WW;8.08;;153;215
EX264;Chrastava;2011;WW;7.01;84.88;148;207
EX265;Chrastava;2011;WW;7.81;;149;208
EX266;Chrastava;2012;WW;11.87;;150;
EX267;Chrastava;2012;WW;9.65;84.58;148;
EX268;Chrastava;2012;WW;8.87;88.88;143;
EX269;Chrastava;2012;WW;10.7;;144;
EX270;Chrastava;2012;WW;10.37;;;
EX271;Chrastava;2012;WW;9.24;85.62;;
EX272;Chrastava;2013;WW;5.18;92.55;157;223
EX273;Chrastava;2013;WW;8.9;;158;225
EX274;Chrastava;2013;WW;6.95;91.19;163;
EX275;Chrastava;2013;WW;9.89;;164;226
EX276;Chrastava;2013;WW;6.59;92.17;163;
EX277;Chrastava;2013;WW;9.93;;164;
EX278;Chrastava;2014;WW;;;141;
EX279;Chrastava;2014;WW;8.56;93.84;144;220
EX280;Chrastava;2014;WW;11.24;;144;223
EX281;Chrastava;2014;WW;;99.8;;202
EX282;Chrastava;2015;WW;10.21;97.69;152;215
EX283;Chrastava;2015;WW;11.81;;152;214
EX284;Chrastava;2015;WW;11;;150;213
EX285;Chrastava;2015;WW;9.6;99.57;150;210
EX286;Chrastava;2016;WW;8.78;88.08;160;210
EX287;Chrastava;2016;WW;8.22;91.04;156;206
EX288;Chrastava;2016;WW;8.35;100.48;149;214
EX289;Chrastava;2016;WW;10.52;93;150;
EX290;Chrastava;2016;WW;9.76;95.59;150;218
EX291;Chrastava;2016;WW;;104.97;147;
EX292;Chrastava;2016;WW;;99.57;147;207
EX293;Chrastava;2017;WW;9.99;96.99;150;208
EX294;Chrastava;2017;WW;10.52;89.21;150;208
EX295;Chrastava;2017;WW;10.87;87.92;152;211
EX296;Chrastava;2018;WW;10.29;100.7;136;197
EX297;Chrastava;2018;WW;11.13;85.89;136;199
EX298;Chrastava;2018;WW;9.64;92.39;141;199
EX299;Chrastava;2018;WW;11.87;86.53;141;201
EX300;Chrastava;2019;WW;8.8;104.97;145;201
EX301;Chrastava;2019;WW;12.63;101.97;146;202
EX302;Chrastava;2019;WW;10.85;101.07;149;204
EX303;Chrastava;2019;WW;12.87;99.07;150;204
EX304;Chrastava;2020;WW;11.9;99.11;147;217
EX305;Chrastava;2020;WW;8.84;100.07;142;209
EX306;Chrastava;2020;WW;11.59;102.76;142;210
EX307;Chrastava;2020;WW;10.03;101.45;146;211
EX308;Chrastava;2021;WW;10.2;82.55;160;211
EX309;Chrastava;2021;WW;9.95;84.04;157;207
EX310;Chrastava;2022;WW;12.25;91.21;146;206
EX311;Chrastava;2022;WW;9.57;95.52;141;200
EX312;Chrastava;2022;WW;10.98;84.86;141;203
EX313;Chrastava;2022;WW;10.21;98.07;145;204
EX314;Chrastava;2022;WW;11.9;90.79;146;205
EX315;Chrastava;2023;WW;8.69;96.14;154;211
EX316;Chrastava;2023;WW;9.83;86.15;149;208
EX317;Chrastava;2023;WW;10.11;88.3;154;211
EX318;Chrastava;2023;WW;9.3;102.57;148;
EX319;Chrastava;2024;WW;9.22;85.91;133;198
EX320;Chrastava;2024;WW;10.55;77.57;134;199
EX321;Chrastava;2024;WW;8.43;89.02;139;203
EX322;Chrastava;2024;WW;10.63;84.52;139;204
EX323;Chrlice;2006;WW;7.12;102.01;161;207
EX324;Chrlice;2006;WW;;90.67;156;206
EX325;Chrlice;2006;WW;9.29;96.22;163;210
EX326;Chrlice;2007;WW;8.67;100.51;139;184
EX327;Chrlice;2007;WW;10.36;96.11;140;186
EX328;Chrlice;2008;WW;;98.94;141;194
EX329;Chrlice;2008;WW;10.08;92;146;199
EX330;Chrlice;2008;WW;9.71;105.15;147;201
EX331;Chrlice;2008;WW;11;93.24;148;202
EX332;Chrlice;2008;WW;11.69;91.02;146;202
EX333;Chrlice;2009;WW;9.04;89.84;142;198
EX334;Chrlice;2009;WW;10.7;84.41;144;209
EX335;Chrlice;2009;WW;9.21;93;141;196
EX336;Chrlice;2009;WW;11.23;80.44;138;205
EX337;Chrlice;2009;WW;10.83;87.13;143;208
EX338;Chrlice;2010;WW;7.39;94.85;156;206
EX339;Chrlice;2010;WW;9.57;85.1;157;214
EX340;Chrlice;2010;WW;7.72;90.87;156;209
EX341;Chrlice;2010;WW;9.47;85.8;157;215
EX342;Chrlice;2010;WW;8.32;92.59;149;202
EX343;Chrlice;2010;WW;10.04;85.54;150;204
EX344;Chrlice;2011;WW;10.85;94.58;146;199
EX345;Chrlice;2011;WW;12.04;;147;203
EX346;Chrlice;2011;WW;10.67;95.53;146;198
EX347;Chrlice;2011;WW;11.69;;143;198
EX348;Chrlice;2011;WW;12.14;;148;205
EX349;Chrlice;2011;WW;10.76;93.78;142;193
EX350;Chrlice;2013;WW;10.27;;155;210
EX351;Chrlice;2013;WW;8.3;101.39;144;203
EX352;Chrlice;2013;WW;8.47;98.14;155;207
EX353;Chrlice;2013;WW;10.16;;144;209
EX354;Chrlice;2013;WW;10.36;;;210
EX355;Chrlice;2013;WW;8.33;103.17;144;203
EX356;Chrlice;2013;WW;8.93;99.85;;207
EX357;Chrlice;2014;WW;12.02;;142;202
EX358;Chrlice;2014;WW;11.41;103.52;141;198
EX359;Chrlice;2014;WW;10.92;112.2;133;193
EX360;Chrlice;2014;WW;12.75;;132;195
EX361;Chrlice;2014;WW;11.46;102.19;142;201
EX362;Chrlice;2014;WW;12.42;;142;202
EX363;Chrlice;2015;WW;9.29;115.57;141;196
EX364;Chrlice;2015;WW;11.59;;141;
EX365;Chrlice;2015;WW;11.58;;;201
EX366;Chrlice;2015;WW;9.36;109.38;;198
EX367;Chrlice;2016;WW;8.65;106.7;146;199
EX368;Chrlice;2016;WW;11.54;102.65;146;
EX369;Chrlice;2016;WW;8.23;101.38;149;201
EX370;Chrlice;2016;WW;8.12;103.11;150;
EX371;Chrlice;2016;WW;10.58;96.88;150;202
EX372;Chrlice;2016;WW;10.24;99.44;150;
EX373;Chrlice;2016;WW;10.52;98.89;150;200
EX374;Chrlice;2016;WW;10.94;97.33;156;202
EX375;Chrlice;2017;WW;6.09;80.93;144;187
EX376;Chrlice;2017;WW;6.55;78.14;144;189
EX377;Chrlice;2017;WW;6.2;79.65;145;187
EX378;Chrlice;2017;WW;6.67;77.05;145;190
EX379;Chrlice;2018;WW;8.11;83.03;131;179
EX380;Chrlice;2018;WW;8.02;69.16;131;183
EX381;Chrlice;2018;WW;8.23;85.22;131;179
EX382;Chrlice;2018;WW;8.18;70.67;131;183
EX383;Chrlice;2018;WW;6.69;76.94;138;184
EX384;Chrlice;2018;WW;7.57;81.48;137;185
EX385;Chrlice;2018;WW;8.39;72.67;137;188
EX386;Chrlice;2018;WW;7.18;68.79;138;184
EX387;Chrlice;2019;WW;8.65;87.03;139;
EX388;Chrlice;2019;WW;8.33;86.17;139;
EX389;Chrlice;2019;WW;7.8;87.62;138;183
EX390;Chrlice;2019;WW;7.41;89.22;138;184
EX391;Chrlice;2020;WW;8.64;77.48;139;197
EX392;Chrlice;2020;WW;8.25;72.55;140;197
EX393;Chrlice;2020;WW;9.53;79.98;144;200
EX394;Chrlice;2020;WW;9.74;78.31;144;201
EX395;Chrlice;2020;WW;9.88;82.16;144;199
EX396;Chrlice;2020;WW;9.78;81.88;144;201
EX397;Chrlice;2021;WW;11.68;95.57;150;201
EX398;Chrlice;2021;WW;12.28;95.4;156;203
EX399;Chrlice;2022;WW;11.66;95.59;138;188
EX400;Chrlice;2022;WW;12.01;89.16;138;189
EX401;Chrlice;2022;WW;11.61;95.08;142;193
EX402;Chrlice;2022;WW;11;94.05;143;193
EX403;Chrlice;2022;WW;11.7;89.8;142;193
EX404;Chrlice;2023;WW;8.95;101.51;144;192
EX405;Chrlice;2023;WW;9.63;98.77;144;193
EX406;Chrlice;2023;WW;;97.16;149;198
EX407;Chrlice;2023;WW;;100.68;148;195
EX408;Chrlice;2023;WW;;95.62;149;198
EX409;Chrlice;2023;WW;;99;149;197
EX410;Chrlice;2024;WW;7.34;102.74;134;186
EX411;Chrlice;2024;WW;9.89;100.13;134;187
